"ID do Bot","Nome do Bot","ID da ordem","Data","Stake","Odd","Tipo","P/L","Seleção","ID da Seleção","Evento","ID do Evento","Mercado","ID do Mercado","Tipo do Mercado","Placar Casa","Placar Fora","Tempo de jogo","Competição","Liquidez","Tipo de operação","Odd Pre Casa","Odd Pre Visitante","Odd Pre Empate","Odd Pre Over 2.5","Odd Pre Under 2.5","Histórico","Estatísticas"
"83","v4 Back BTTS","417629384436","2026-02-07T13:51:29.001Z","1.5","2.16","BACK","1.74","Yes","30246","Juve Stabia vs Padova","35214483","BOTH_TEAMS_TO_SCORE","1.253470520","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Italian Serie B","529.65","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417629384543","2026-02-07T13:51:29.008Z","1.5","2.1","BACK","1.65","Yes","30246","Modena vs Sampdoria","35213505","BOTH_TEAMS_TO_SCORE","1.253458449","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Italian Serie B","3738.33","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417629384546","2026-02-07T13:51:29.013Z","1.5","2.02","BACK","-1.5","Yes","30246","Catanzaro vs Reggiana","35214490","BOTH_TEAMS_TO_SCORE","1.253470610","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Italian Serie B","2769.21","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417646420522","2026-02-07T15:01:27.758Z","1.5","2.52","BACK","-1.5","Yes","30246","Las Palmas vs Burgos","35213177","BOTH_TEAMS_TO_SCORE","1.253449485","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Spanish Segunda Division","430.05","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417664996012","2026-02-07T16:01:28.338Z","1.5","2.1","BACK","1.65","Yes","30246","Palermo vs Empoli","35213148","BOTH_TEAMS_TO_SCORE","1.253448646","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Italian Serie B","418.98","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417665009301","2026-02-07T16:01:28.362Z","1.5","2.42","BACK","2.13","Yes","30246","Genoa vs Napoli","35188753","BOTH_TEAMS_TO_SCORE","1.253189721","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Italian Serie A","1278.7","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417665014318","2026-02-07T16:01:28.383Z","1.5","1.85","BACK","-1.5","Yes","30246","Samsunspor vs Trabzonspor","35213173","BOTH_TEAMS_TO_SCORE","1.253453014","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Turkish Super League","600.4","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417676335691","2026-02-07T16:41:28.305Z","1.42","2.32","BACK","1.87","Yes","30246","Zaragoza vs Eibar","35214580","BOTH_TEAMS_TO_SCORE","1.253472042","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Spanish Segunda Division","601.85","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417680349516","2026-02-07T17:01:28.616Z","1.5","1.93","BACK","-1.5","Yes","30246","Brest vs Lorient","35189182","BOTH_TEAMS_TO_SCORE","1.253202377","BOTH_TEAMS_TO_SCORE","-1","-1","-1","French Ligue 1","357.43","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417685693700","2026-02-07T17:31:27.494Z","1.5","1.98","BACK","1.47","Yes","30246","Spezia vs Entella","35213552","BOTH_TEAMS_TO_SCORE","1.253458539","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Italian Serie B","373.73","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417699785849","2026-02-07T18:51:25.728Z","1.5","1.93","BACK","1.4","Yes","30246","Fiorentina vs Torino","35188752","BOTH_TEAMS_TO_SCORE","1.253189842","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Italian Serie A","1694.48","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417706002617","2026-02-07T19:31:28.117Z","1.5","1.92","BACK","-1.5","Yes","30246","Nantes vs Lyon","35189197","BOTH_TEAMS_TO_SCORE","1.253201980","BOTH_TEAMS_TO_SCORE","-1","-1","-1","French Ligue 1","2442.21","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417771447600","2026-02-08T10:31:28.026Z","1.5","1.98","BACK","-1.5","Yes","30246","Bologna vs Parma","35188845","BOTH_TEAMS_TO_SCORE","1.253194279","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Italian Serie A","13013.83","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417784097673","2026-02-08T12:21:28.202Z","1.5","1.86","BACK","-1.5","Yes","30246","Valladolid vs CD Castellon","35217561","BOTH_TEAMS_TO_SCORE","1.253505520","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Spanish Segunda Division","139.98","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417785663121","2026-02-08T12:31:25.932Z","1.5","2","BACK","-1.5","Yes","30246","Juventud De Las Piedras vs Cerro Largo FC","35209585","BOTH_TEAMS_TO_SCORE","1.253403939","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Uruguayan Primera Division","211.46","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417790666462","2026-02-08T13:01:27.145Z","1.5","1.93","BACK","-1.5","Yes","30246","Konyaspor vs Goztepe","35216479","BOTH_TEAMS_TO_SCORE","1.253507857","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Turkish Super League","670.91","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417790675028","2026-02-08T13:01:27.178Z","1.5","2.1","BACK","1.65","Yes","30246","AC Monza vs Calcio Avellino SSD","35217304","BOTH_TEAMS_TO_SCORE","1.253511785","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Italian Serie B","194.09","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417790677997","2026-02-08T13:01:27.194Z","1.5","2.28","BACK","1.92","Yes","30246","Lecce vs Udinese","35188981","BOTH_TEAMS_TO_SCORE","1.253196112","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Italian Serie A","4287.45","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417813394225","2026-02-08T14:51:31.581Z","1.5","1.92","BACK","1.38","Yes","30246","Deportivo vs Albacete","35216892","BOTH_TEAMS_TO_SCORE","1.253497642","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Spanish Segunda Division","189.45","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417817298911","2026-02-08T15:11:32.602Z","1","1.94","BACK","0.94","Yes","30246","Torreense vs Leiria","35216897","BOTH_TEAMS_TO_SCORE","1.253511065","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Portuguese Segunda Liga","139.82","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417819501563","2026-02-08T15:21:28.155Z","1.5","1.89","BACK","-1.5","Yes","30246","Auxerre vs Paris FC","35189213","BOTH_TEAMS_TO_SCORE","1.253201164","BOTH_TEAMS_TO_SCORE","-1","-1","-1","French Ligue 1","469.78","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417819505997","2026-02-08T15:21:28.175Z","1.5","1.88","BACK","1.32","Yes","30246","Le Havre vs Strasbourg","35189212","BOTH_TEAMS_TO_SCORE","1.253201393","BOTH_TEAMS_TO_SCORE","-1","-1","-1","French Ligue 1","558.75","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417819510411","2026-02-08T15:21:28.194Z","0.85","2.12","BACK","-0.85","Yes","30246","Angers vs Toulouse","35189519","BOTH_TEAMS_TO_SCORE","1.253200811","BOTH_TEAMS_TO_SCORE","-1","-1","-1","French Ligue 1","446.02","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417827314088","2026-02-08T16:01:29.419Z","1.5","2.08","BACK","-1.5","Yes","30246","Sassuolo vs Inter","35188983","BOTH_TEAMS_TO_SCORE","1.253196273","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Italian Serie A","1119.53","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417832928540","2026-02-08T16:31:26.907Z","1.5","2.1","BACK","1.65","Yes","30246","Sporting Gijon vs Huesca","35217570","BOTH_TEAMS_TO_SCORE","1.253505790","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Spanish Segunda Division","458.87","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417855271393","2026-02-08T18:51:27.549Z","1.5","2.52","BACK","2.28","Yes","30246","Juventus vs Lazio","35188980","BOTH_TEAMS_TO_SCORE","1.253196400","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Italian Serie A","7165.49","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417857211724","2026-02-08T19:11:26.638Z","1.5","1.99","BACK","1.49","Yes","30246","Malaga vs Leonesa","35219283","BOTH_TEAMS_TO_SCORE","1.253526144","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Spanish Segunda Division","143.21","Entrada no mercado","0","0","0","0","0","",""
"83","v4 Back BTTS","417909868506","2026-02-09T10:31:26.907Z","1.5","2.2","BACK","1.8","Yes","30246","Nam Dinh vs Hong Linh Ha Tinh","35243166","BOTH_TEAMS_TO_SCORE","1.253796950","BOTH_TEAMS_TO_SCORE","-1","-1","-1","Vietnamese V-League","202.62","Entrada no mercado","0","0","0","0","0","",""
